"SHRINE_PATH","HERON_PATH"
"\\ACT_DEMO\ACT\Demographics\Age\","\\i2b2_Demographics\i2b2\Demographics\Age\"
"\\ACT_DEMO\ACT\Demographics\Age\0-9 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\0-9 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\0-9 years old\0 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\0-9 years old\0 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\0-9 years old\1 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\0-9 years old\1 year old\"
"\\ACT_DEMO\ACT\Demographics\Age\0-9 years old\2 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\0-9 years old\2 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\10-17 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\10-17 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\18-34 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\18-34 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\35-44 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\35-44 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\45-54 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\45-54 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\55-64 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\55-64 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\65-74 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\65-74 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\75-84 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\75-84 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\>= 65 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\>= 65 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\>= 85 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\>= 85 years old\"
"\\ACT_DEMO\ACT\Demographics\Hispanic\","\\i2b2_Demographics\i2b2\Demographics\Ethnicity\Hispanic\"
"\\ACT_DEMO\ACT\Demographics\Hispanic\No Information\","\\i2b2_Demographics\i2b2\Demographics\Ethnicity\Not Recorded\"
"\\ACT_DEMO\ACT\Demographics\Hispanic\No\","\\i2b2_Demographics\i2b2\Demographics\Ethnicity\Non Hispanic, Latino or Spanish Origin\"
"\\ACT_DEMO\ACT\Demographics\Hispanic\Yes\","\\i2b2_Demographics\i2b2\Demographics\Ethnicity\Hispanic\"
"\\ACT_DEMO\ACT\Demographics\Race\","\\i2b2_Demographics\i2b2\Demographics\Race\"
"\\ACT_DEMO\ACT\Demographics\Race\American Indian or Alaska Native\","\\i2b2_Demographics\i2b2\Demographics\Race\American Indian or Alaskan Native\"
"\\ACT_DEMO\ACT\Demographics\Race\Asian\","\\i2b2_Demographics\i2b2\Demographics\Race\Asian\"
"\\ACT_DEMO\ACT\Demographics\Race\Black or African American\","\\i2b2_Demographics\i2b2\Demographics\Race\Black or African American\"
"\\ACT_DEMO\ACT\Demographics\Race\Multiple race\","\\i2b2_Demographics\i2b2\Demographics\Race\Two Races\"
"\\ACT_DEMO\ACT\Demographics\Race\Native Hawaiian or Other Pacific Islander\","\\i2b2_Demographics\i2b2\Demographics\Race\Native Hawaiian or Other Pacific Islander\"
"\\ACT_DEMO\ACT\Demographics\Race\No Information\","\\i2b2_Demographics\i2b2\Demographics\Race\Not Recorded\"
"\\ACT_DEMO\ACT\Demographics\Race\White\","\\i2b2_Demographics\i2b2\Demographics\Race\White or Caucasian\"
"\\ACT_DEMO\ACT\Demographics\Sex\","\\i2b2_Demographics\i2b2\Demographics\Gender\"
"\\ACT_DEMO\ACT\Demographics\Sex\Ambiguous\","\\i2b2_Demographics\i2b2\Demographics\Gender\Unknown\"
"\\ACT_DEMO\ACT\Demographics\Sex\Female\","\\i2b2_Demographics\i2b2\Demographics\Gender\Female\"
"\\ACT_DEMO\ACT\Demographics\Sex\Male\","\\i2b2_Demographics\i2b2\Demographics\Gender\Male\"
"\\ACT_DEMO\ACT\Demographics\Sex\No Information\","\\i2b2_Demographics\i2b2\Demographics\Gender\Unknown\"
"\\ACT_DEMO\ACT\Demographics\Sex\Other\","\\i2b2_Demographics\i2b2\Demographics\Gender\Unknown\"
"\\ACT_DEMO\ACT\Demographics\Vital Status\Known Deceased\","\\i2b2_Demographics\i2b2\Demographics\Vital Status\Deceased per SSA\"
"\\ACT_DEMO\ACT\Demographics\Age\85-89 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\>= 85 years old\85 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\85-89 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\>= 85 years old\86 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\85-89 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\>= 85 years old\87 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\85-89 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\>= 85 years old\88 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\85-89 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\>= 85 years old\89 years old\"
"\\ACT_DEMO\ACT\Demographics\Age\>= 90 years old\","\\i2b2_Demographics\i2b2\Demographics\Age\>= 85 years old\89 years old\"
"\\ACT_DEMO\ACT\Demographics\Vital Status\Known Deceased\","\\i2b2_Demographics\i2b2\Demographics\Vital Status\Deceased\"
